"Official name (known as)","Location","Country","No. of ODIs"
"Jaffery Sports Club Ground","Nairobi, Nairobi County","Kenya","5"
"Ruaraka Sports Club Ground","Nairobi, Nairobi County","Kenya","5"
"Sir Vivian Richards Stadium","North Sound, Antigua and Barbuda (West Indies)","Antigua and Barbuda","13"
"Providence Stadium","Providence, Guyana (West Indies)","Guyana","13"
"Titwood","Glasgow, Strathclyde","Scotland","2"
"Hazelaarweg Stadion","Rotterdam, South Holland"," Netherlands","10"
"Maple Leaf North-West Ground","King City, Ontario","Canada","12"
"Mannofield Park","Aberdeen","Scotland","11"
"Dubai International Cricket Stadium (Dubai Sports City Stadium)","Dubai, United Arab Emirates","United Arab Emirates","17"
"Windsor Park","Roseau, Dominica (West Indies)","Dominica","4"
"Vidarbha Cricket Association Stadium (Jamtha)","Nagpur, Maharashtra","India","7"
"University Oval","Dunedin, Otago","New Zealand","7"
"Sportpark Westvliet","Voorburg, South Holland"," Netherlands","4"
"Sportpark Thurlede","Schiedam, South Holland"," Netherlands","2"
"Mahinda Rajapaksa International Stadium (Hambantota Cricket Stadium)","Hambantota, Southern Province","Sri Lanka","16"
"Pallekele International Cricket Stadium (Muttiah Muralitharan International Cricket Stadium)","Pallekele, Central Province","Sri Lanka","15"
"Sportpark Duivesteijn","Voorburg, South Holland"," Netherlands","2"
"Cobham Oval (New)","Whangarei, Northland","New Zealand","1"
"Saurashtra Cricket Association Stadium (Khanderi Cricket Stadium)","Rajkot, Saurashtra","India","2"
"JSCA International Cricket Stadium (JSCA International Stadium Complex)","Ranchi, Jharkhand","India","3"
"HPCA Stadium (Himachal Pradesh Cricket Association Stadium)","Dharamsala, Himachal Pradesh","India","2"
"ICC Global Cricket Academy","Dubai, United Arab Emirates","United Arab Emirates","8"
"Malahide(The Village)","Dublin, Leinster","Ireland","4"
"Subrata Roy Sahara Stadium (Maharashtra Cricket Association Stadium)","Gahunje, Pune, Maharashtra","India","1"
"Saxton Oval","Nelson, Nelson (Region)","New Zealand","5"
"Hagley Oval","Christchurch, Canterbury","New Zealand","6"
"Bert Sutcliffe Oval","Lincoln, Canterbury","New Zealand","2"
"Bay Oval","Mount Maunganui, Bay of Plenty","New Zealand","3"
"Bayuemas Oval","Pandamaran, Kuala Lumpur","Malaysia","1"
"Tony Ireland Stadium","Townsville, Queensland","Australia","2"
